,cumulative_nav,cumulative_nav_withdrawal,id,init_unit_value,nav,price_change,price_date,fund_id,advisor_id_head,company_name_head,fund_id_head,fund_short_name_head,id_head,inception_date_head,initial_unit_value_head,manager_id_head,manager_name_head,nav_head,price_date_head,ret_incep_head,ret_incep_a_head,ret_inception_head,是否分级_head,产品类型_head,投资策略_head,子策略_head
7,1.009900,1.009900,18,1.000000,1.009900,0.0123295910,2016-08-12,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
8,0.997600,0.997600,19,1.000000,0.997600,-0.0106119211,2016-08-05,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
9,1.008300,1.008300,20,1.000000,1.008300,-0.0005947071,2016-07-29,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
0,1.008900,1.008900,21,1.000000,1.008900,-0.0012868739,2016-07-22,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
1,1.010200,1.010200,22,1.000000,1.010200,0.0089892129,2016-07-15,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
2,1.001200,1.001200,23,1.000000,1.001200,0.0098850111,2016-07-08,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
3,0.991400,0.991400,24,1.000000,0.991400,0.0071109305,2016-07-01,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
4,0.984400,0.984400,25,1.000000,0.984400,-0.0049529971,2016-06-24,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
5,0.989300,0.989300,26,1.000000,0.989300,-0.0247436909,2016-06-17,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
6,1.014400,1.014400,27,1.000000,1.014400,0.0409440739,2016-06-03,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
7,0.974500,0.974500,28,1.000000,0.974500,-0.0250125063,2016-05-27,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
8,0.999500,0.999500,29,1.000000,0.999500,-0.0078419694,2016-05-20,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
9,1.007400,1.007400,30,1.000000,1.007400,-0.0138032305,2016-05-13,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
0,1.021500,1.021500,31,1.000000,1.021500,-0.0053554041,2016-05-06,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
1,1.027000,1.027000,32,1.000000,1.027000,-0.0052305308,2016-04-29,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
2,1.032400,1.032400,33,1.000000,1.032400,-0.0288778102,2016-04-22,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
3,1.063100,1.063100,34,1.000000,1.063100,0.0286405418,2016-04-15,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
4,1.033500,1.033500,35,1.000000,1.033500,0.0096717468,2016-04-08,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
5,1.023600,1.023600,36,1.000000,1.023600,-0.0062135922,2016-04-01,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
6,1.030000,1.030000,37,1.000000,1.030000,0.0092102685,2016-03-25,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
7,1.020600,1.020600,38,1.000000,1.020600,0.0276910684,2016-03-18,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
8,0.993100,0.993100,39,1.000000,0.993100,0.0781674085,2016-03-11,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
9,0.921100,0.921100,40,1.000000,0.921100,0.0060069900,2016-03-04,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
0,0.915600,0.915600,41,1.000000,0.915600,-0.0207486631,2016-02-26,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
1,0.935000,0.935000,42,1.000000,0.935000,0.0167464115,2016-02-19,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
2,0.919600,0.919600,43,1.000000,0.919600,0.0092186128,2016-02-05,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
3,0.911200,0.911200,44,1.000000,0.911200,-0.0314625850,2016-01-29,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
4,0.940800,0.940800,45,1.000000,0.940800,0.0025575448,2016-01-22,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
5,0.938400,0.938400,46,1.000000,0.938400,-0.0204592902,2016-01-15,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
6,0.958000,0.958000,47,1.000000,0.958000,-0.0112498710,2016-01-08,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
7,0.968900,0.968900,48,1.000000,0.968900,-0.0037017995,2015-12-25,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
8,0.972500,0.972500,49,1.000000,0.972500,-0.0019499179,2015-12-18,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
9,0.974400,0.974400,50,1.000000,0.974400,-0.0130659374,2015-12-11,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
0,0.987300,0.987300,51,1.000000,0.987300,0.0008109478,2015-12-04,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
1,0.986500,0.986500,52,1.000000,0.986500,-0.0121169637,2015-11-27,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
2,0.998600,0.998600,53,1.000000,0.998600,-0.0010004002,2015-11-20,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
3,0.999600,0.999600,54,1.000000,0.999600,-0.0004000000,2015-11-13,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
4,1.000000,1.000000,55,1.000000,1.000000,0.0000000000,2015-11-06,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
5,1.000000,1.000000,56,1.000000,1.000000,,2015-11-05,HF00001547,CO00000AX3,时时安资产,HF00001547,时时安稳健1号,17221,2015-11-05,1.0,PL00000AXG,章芳铭,1.008000,2016-09-23,0.008,None,0.008,否,自主发行,复合策略,复合策略
